Designator,Val,Package,Mid X,Mid Y,Rotation,Layer
C1,22pF,C_01005_0402Metric,150.002856,-206.115,0,top
C2,22pF,C_01005_0402Metric,149.977856,-215.915,0,top
C3,1uF,C_0201_0603Metric,133.502856,-219.97,-90,top
C4,100n,C_0201_0603Metric,131.539286,-158.8375,-90,top
C5,100n,C_0201_0603Metric,133.589286,-158.8375,-90,top
C6,100n,C_0201_0603Metric,135.639286,-158.8375,-90,top
C7,10uF,C_0201_0603Metric,137.689286,-158.8375,90,top
CON1,ISP,PinHeader_2x03_P2.54mm_Vertical,141.652856,-230.265,-90,top
D1, MBR130LSFT1G ,D_SMA,134.664286,-153.6125,0,top
D_1,D_Small,D_SOD-123,164.47119,#VALUE!,180,top
D_2,D,D_SOD-123,164.452856,-172.965,180,top
D_3,D,D_SOD-123,169.291496,-192.19,180,top
D_4,D,D_SOD-123,171.652856,-211.265,180,top
D_5,D,D_SOD-123,171.177856,-249.665,180,top
D_6,D,D_SOD-123,183.699523,-153.715,180,top
D_7,D,D_SOD-123,183.688272,-172.965,180,top
D_8,D,D_SOD-123,176.227856,-230.565,180,top
D_9,D,D_SOD-123,194.927856,-249.59,180,top
D_10,D,D_SOD-123,202.927856,-153.715,180,top
D_11,D,D_SOD-123,202.923688,-172.965,180,top
D_12,D,D_SOD-123,193.291496,-192.14,180,top
D_13,D,D_SOD-123,198.152856,-211.365,180,top
D_14,D,D_SOD-123,207.527856,-230.49,180,top
D_15,D,D_SOD-123,222.156189,-153.715,180,top
D_16,D,D_SOD-123,222.159104,-172.965,180,top
D_17,D,D_SOD-123,212.518768,-192.14,180,top
D_18,D,D_SOD-123,217.392856,-211.365,180,top
D_19,D,D_SOD-123,226.758411,-230.49,180,top
D_20,D,D_SOD-123,215.177856,-249.69,180,top
D_21,D,D_SOD-123,241.384522,-153.715,180,top
D_22,D,D_SOD-123,241.39452,-172.965,180,top
D_23,D,D_SOD-123,231.74604,-192.14,180,top
D_24,D,D_SOD-123,236.632856,-211.365,180,top
D_25,D,D_SOD-123,245.988966,-230.49,180,top
D_26,D,D_SOD-123,260.612855,-153.715,180,top
D_27,D,D_SOD-123,260.629936,-172.965,180,top
D_28,D,D_SOD-123,250.973312,-192.14,180,top
D_29,D,D_SOD-123,255.872856,-211.365,180,top
D_30,D,D_SOD-123,265.219521,-230.49,180,top
D_31,D,D_SOD-123,279.841188,-153.715,180,top
D_32,D,D_SOD-123,279.865352,-172.965,180,top
D_33,D,D_SOD-123,270.200584,-192.14,180,top
D_34,D,D_SOD-123,275.112856,-211.365,180,top
D_35,D,D_SOD-123,284.450076,-230.49,180,top
D_36,D,D_SOD-123,286.827856,-249.64,180,top
D_37,D,D_SOD-123,299.069521,-153.715,180,top
D_38,D,D_SOD-123,299.100768,-172.965,180,top
D_39,D,D_SOD-123,289.427856,-192.14,180,top
D_40,D,D_SOD-123,294.352856,-211.365,180,top
D_41,D,D_SOD-123,303.680631,-230.49,180,top
D_42,D,D_SOD-123,318.297854,-153.715,180,top
D_43,D,D_SOD-123,318.336184,-172.965,180,top
D_44,D,D_SOD-123,308.655128,-192.14,180,top
D_45,D,D_SOD-123,313.592856,-211.365,180,top
D_46,D,D_SOD-123,322.911186,-230.49,180,top
D_47,D,D_SOD-123,337.526187,-153.715,180,top
D_48,D,D_SOD-123,337.5716,-172.965,180,top
D_49,D,D_SOD-123,327.8824,-192.14,180,top
D_50,D,D_SOD-123,332.832856,-211.365,180,top
D_51,D,D_SOD-123,342.141741,-230.49,180,top
D_52,D,D_SOD-123,356.75452,-153.715,180,top
D_53,D,D_SOD-123,356.807016,-172.965,180,top
D_54,D,D_SOD-123,347.109672,-192.14,180,top
D_55,D,D_SOD-123,352.072856,-211.365,180,top
D_56,D,D_SOD-123,361.372296,-230.49,180,top
D_57,D,D_SOD-123,356.027856,-249.79,180,top
D_58,D,D_SOD-123,375.982853,-153.715,180,top
D_59,D,D_SOD-123,376.042432,-172.965,180,top
D_60,D,D_SOD-123,366.336944,-192.14,180,top
D_61,D,D_SOD-123,371.452856,-211.365,180,top
D_62,D,D_SOD-123,380.602856,-230.49,180,top
D_63,D,D_SOD-123,375.627856,-249.715,180,top
D_64,D,D_SOD-123,395.211186,-153.715,180,top
D_65,D,D_SOD-123,395.277856,-172.965,180,top
D_66,D,D_SOD-123,385.564216,-192.14,180,top
D_67,D,D_SOD-123,390.552856,-211.365,180,top
D_68,D,D_SOD-123,394.852856,-249.74,180,top
D_69,D,D_SOD-123,414.439519,-153.715,180,top
D_70,D,D_SOD-123,404.791496,-192.14,180,top
D_71,D,D_SOD-123,421.727856,-211.29,180,top
D_72,D,D_SOD-123,404.602856,-230.515,180,top
D_73,D,D_SOD-123,414.102856,-249.665,180,top
D_74,D,D_SOD-123,433.667852,-153.715,180,top
D_75,D,D_SOD-123,423.927856,-172.965,180,top
D_76,D,D_SOD-123,428.866496,-192.115,180,top
D_77,D,D_SOD-123,429.627856,-230.44,180,top
D_78,D,D_SOD-123,433.377856,-249.94,180,top
D_79,D,D_SOD-123,452.89619,-153.715,180,top
D_80,D,D_SOD-123,452.802856,-173.04,180,top
D_81,D,D_SOD-123,452.891496,-192.14,180,top
D_82,D,D_SOD-123,452.802856,-211.365,180,top
D_83,D,D_SOD-123,452.727856,-230.49,180,top
D_84,D,D_SOD-123,452.627856,-249.665,180,top
J1,USB_C_Receptacle_USB2.0,USB_C_Receptacle_GCT_USB4085,137.364286,-145.8625,180,top
LED_0,MX_SK6812MINI-E,LED_MX_6028R,357.489696,-186.15125,0,top
LED_1,MX_SK6812MINI-E,LED_MX_6028R,184.539702,-186.15125,0,top
LED_2,MX_SK6812MINI-E,LED_MX_6028R,203.756368,-186.15125,0,top
LED_3,MX_SK6812MINI-E,LED_MX_6028R,222.973034,-186.15125,0,top
LED_4,MX_SK6812MINI-E,LED_MX_6028R,242.1897,-186.15125,0,top
LED_5,MX_SK6812MINI-E,LED_MX_6028R,261.406366,-186.15125,0,top
LED_6,MX_SK6812MINI-E,LED_MX_6028R,280.623032,-186.15125,0,top
LED_7,MX_SK6812MINI-E,LED_MX_6028R,299.839698,-186.15125,0,top
LED_8,MX_SK6812MINI-E,LED_MX_6028R,319.056364,-186.15125,0,top
